Date,Ordered Product Sales,Units Ordered,Total Order Items,Page Views - Total,Sessions - Total,Featured Offer (Buy Box) Percentage,Unit Session Percentage,Average Offer Count,Average Parent Items
24/09/2022,"AED 4,426.00",38,35,"6,930","4,731",9.22%,0.80%,"1,117","1,062"
25/09/2022,"AED 1,922.51",19,16,"7,339","4,932",6.58%,0.39%,"1,109","1,056"
26/09/2022,"AED 2,240.00",20,17,"7,071","4,820",7.62%,0.41%,"1,112","1,058"
27/09/2022,"AED 2,821.90",25,24,"7,483","5,069",6.91%,0.49%,"1,117","1,063"
28/09/2022,"AED 2,518.00",23,21,"7,232","4,971",8.05%,0.46%,"1,137","1,082"
29/09/2022,"AED 3,694.80",33,28,"7,324","5,072",8.87%,0.65%,"1,132","1,079"
30/09/2022,"AED 2,146.00",20,18,"6,636","4,523",7.08%,0.44%,"1,123","1,071"
01/10/2022,"AED 4,163.00",31,25,"7,393","4,931",7.22%,0.63%,"1,133","1,082"
02/10/2022,"AED 5,474.40",46,38,"8,022","5,364",7.08%,0.86%,"1,117","1,068"
03/10/2022,"AED 5,001.00",36,31,"8,037","5,452",7.70%,0.66%,"1,116","1,067"
04/10/2022,"AED 3,543.25",29,27,"7,551","5,107",7.05%,0.57%,"1,107","1,059"
05/10/2022,"AED 4,355.00",40,33,"7,489","5,125",7.84%,0.78%,"1,118","1,070"
06/10/2022,"AED 1,972.50",18,18,"6,869","4,629",7.25%,0.39%,"1,110","1,062"
07/10/2022,"AED 2,654.94",29,26,"6,485","4,412",10.24%,0.66%,"1,103","1,055"
08/10/2022,"AED 2,923.00",29,28,"6,342","4,327",7.47%,0.67%,"1,089","1,043"
09/10/2022,"AED 2,630.00",20,19,"7,149","4,859",6.00%,0.41%,"1,082","1,036"
10/10/2022,"AED 3,469.20",34,31,"7,405","4,875",6.41%,0.70%,"1,088","1,043"
11/10/2022,"AED 4,412.00",38,34,"7,110","4,891",7.55%,0.78%,"1,104","1,059"
12/10/2022,"AED 4,758.00",41,32,"7,123","4,955",8.77%,0.83%,"1,086","1,045"
13/10/2022,"AED 2,739.00",26,25,"6,868","4,659",7.82%,0.56%,"1,078","1,037"
14/10/2022,"AED 2,913.00",22,20,"6,113","4,179",6.31%,0.53%,"1,067","1,026"
15/10/2022,"AED 2,229.99",19,17,"10,302","7,538",4.36%,0.25%,"1,088","1,045"
16/10/2022,"AED 2,397.43",21,19,"10,853","7,739",4.68%,0.27%,"1,082","1,039"
17/10/2022,"AED 2,714.30",23,20,"8,979","6,325",6.10%,0.36%,"1,107","1,065"
18/10/2022,"AED 2,922.00",24,19,"8,711","6,182",7.03%,0.39%,"1,115","1,075"
19/10/2022,"AED 3,089.00",23,23,"8,746","6,162",6.73%,0.37%,"1,106","1,065"
20/10/2022,"AED 2,570.19",16,15,"8,629","6,180",6.44%,0.26%,"1,103","1,062"
21/10/2022,"AED 3,405.00",27,21,"7,520","5,330",6.24%,0.51%,"1,101","1,060"
22/10/2022,"AED 3,680.00",39,32,"6,541","4,350",7.20%,0.90%,"1,093","1,052"
23/10/2022,"AED 1,891.00",17,17,"7,119","4,751",6.31%,0.36%,"1,091","1,050"
24/10/2022,"AED 2,231.00",25,20,"6,862","4,621",6.02%,0.54%,"1,108","1,068"
25/10/2022,"AED 4,912.00",37,33,"6,928","4,768",8.05%,0.78%,"1,124","1,082"
26/10/2022,"AED 4,809.00",34,27,"7,252","5,097",8.84%,0.67%,"1,101","1,062"
27/10/2022,"AED 4,642.99",32,27,"6,709","4,678",6.54%,0.68%,"1,094","1,054"
28/10/2022,"AED 2,874.04",24,18,"6,441","4,313",7.06%,0.56%,"1,090","1,050"
29/10/2022,"AED 4,123.00",37,28,"6,346","4,336",7.99%,0.85%,"1,076","1,036"
30/10/2022,"AED 4,814.00",38,31,"6,954","4,653",7.16%,0.82%,"1,086","1,049"
31/10/2022,"AED 2,815.00",27,24,"6,977","4,783",7.95%,0.56%,"1,077","1,040"
01/11/2022,"AED 4,461.99",47,37,"6,704","4,585",8.05%,1.03%,"1,067","1,029"
02/11/2022,"AED 3,869.00",26,25,"6,977","4,758",6.49%,0.55%,"1,077","1,037"
03/11/2022,"AED 4,347.40",29,25,"6,526","4,530",7.78%,0.64%,"1,087","1,047"
